station;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Bakel;812,7;646,9;525,7;463,5;655,4;619;690,6;712,7;509,7;651,5;702,3;434,3
Bambey;485,6;474,5;678,8;479,1;519,1;805,3;662;567,4;585,1;611,4;674,7;405
Cap-Skiring;826,5;1008;1196,9;1327,4;916,9;1568,2;1449,5;1579,6;1083,1;1743,1;1362,4;1513,7
Dakar;415,1;228,2;663,4;421,1;266,1;511,5;555,3;576,5;307,1;648,4;566,9;161,3
Diourbel;451,6;371,5;722,7;424,3;599,2;623,9;569,6;596,9;385,6;759,5;489;439,2
Fatick;560,5;510,7;668,8;608,3;336,6;841;898;834,7;476,4;922,5;764,7;416,9
Goudiry;0;787;0;0;579,8;658,9;786,1;694,3;468,4;939,3;522,1;583
Kaolack;535,7;580,1;767,3;811,3;488;639,8;740,9;852,8;551,2;849,4;826,6;424
Kédougou;1805,3;1375,8;1222,2;1081;765,3;1018,4;1096,4;1408,6;1393;1128,9;1259;1061
Kolda;1500,1;1072;1644,3;1061,4;1090,9;1206,1;980,2;1353,4;871,6;1242,5;798,9;853,9
Koungheul;1027;990,6;920,6;563,3;578,8;826,2;751,7;1141,5;692,8;1056,4;771,9;541,4
Linguère;279,6;433,3;321;350,6;390,1;466,4;716;782,9;466,4;482,4;421,2;304,9
Louga;153,2;375,3;375,2;272,7;227,9;374,6;452,3;444,4;348,9;311,9;209,3;17,44
Matam;578,6;479,7;439,9;215,4;453,4;423,6;450,7;582,2;256;506,9;395,2;216,2
Mbour;389,4;356,3;647,7;617,5;342,5;605,4;847,5;845,7;567,4;688,1;842,5;436
Nioro;975,5;781,9;786,6;644,9;715,21;889;867,4;1226,9;790,3;923,8;757,1;530,7
Podor;348,2;158,5;338,1;312,2;197,3;220,6;327,2;385;211,1;265;221,1;196,3
Ranérou;797,1;366,375;569;318,5;488,9;536,9;710,6;732,6;416,6;0;305,6;358,6
Saint-Louis;349,8;139,7;281,5;294,6;310,7;257;294,6;593,6;276,8;386,8;374,8;112,8
Simenti;1400,4;1108,6;1136;720,9;844,6;1127,7;977,1;1001;647,9;1010,9;801,3;630
Tambacounda;1066,7;748,4;838,2;578,9;624,1;1022,5;863,8;1031,3;709,1;736,4;852,5;632,8
Thiès;404;330,3;317,9;556,7;560,8;616,8;533,6;664,4;498,6;401,4;542,9;234,9
Vélingara;1150,5;1027,3;937,9999999;650,56;804,9000001;929,2999999;1152,8;1139,5;778,6;822;961,1;721,9
Ziguinchor;1141,9;1060,9;1531,4;1574;919,7;1732,7;1374,8;1613,1;1341,7;1610,6;1548,5;1516,9
Cumul;17455,00;15411,87;17531,20;14348,16;13676,21;18520,80;18748,70;21361,00;14633,40;18699,10;16971,60;12743,14
