station;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Dakar;24,97;25,23;25,75;25,09;25,08;25,69;24,82;26,16;25,41;25,11;25,54;25,13
Saint-Louis;26,50;26,38;27,10;26,56;26,73;27,51;26,11;26,89;26,08;26,05;26,56;26,24
Cap-Skiring;26,29;26,79;26,89;26,54;26,84;27,03;26,51;27,39;26,64;26,66;26,72;27,03
Mbour;27,55;27,62;27,61;27,33;27,15;27,44;26,64;28,03;27,47;27,39;27,53;27,25
Thiès;;;;;27,15;27,40;27,12;27,28;26,45;27,04;27,11;26,95
Louga;27,98;28,06;28,43;28,15;28,03;28,39;27,58;;27,91;27,93;28,12;27,64
Vélingara;28,34;27,58;27,74;28,28;28,21;28,41;28,68;29,50;28,71;28,85;28,95;29,01
Bambey;27,86;27,90;28,30;28,75;28,51;28,52;27,98;28,37;28,57;28,29;28,28;28,55
Diourbel;27,38;27,04;27,88;28,89;28,53;28,22;27,67;28,48;27,61;26,99;28,89;28,96
Ziguinchor;27,95;28,10;29,08;28,30;28,60;28,53;28,21;29,30;28,58;29,28;28,53;28,50
Fatick;28,68;28,92;29,08;28,61;28,70;29,03;28,54;29,34;28,51;28,37;28,49;28,95
Kolda;;29;28,97;28,65;28,73;28,78;28,47;29,24;28,77;29,07;28,98;28,99
Kédougou;27,03;28,19;29,10;28,85;29,15;29,11;28,89;29,45;29,06;29,41;29,45;26,83
Tambacounda;29,51;29,24;29,47;29,00;29,24;29,32;28,86;29,30;29,23;28,75;29,93;29,83
Nioro;28,81;28,45;28,82;28,41;29,32;28,28;28,08;28,81;28,43;28,11;28,32;28,46
Simenti;29,37;28,57;29,04;29,30;29,45;29,30;29,12;29,88;29,47;;29,85;30,68
Podor;29,31;29,71;29,88;29,48;29,45;29,89;29,44;30,40;29,69;;29,83;29,69
Linguère;;;;;29,87;29,25;28,87;28,71;29,30;29,28;29,78;27,09
Kaolack;29,44;29,59;29,80;29,69;29,94;29,83;29,30;30,16;29,64;29,68;29,65;29,81
Koungheul;29,53;29,55;30,04;29,43;29,99;30,05;29,85;30,34;29,89;30,35;30,25;30,10
Ranérou;29,85;30,02;30,37;30,15;30,00;30,20;29,60;30,34;29,58;29,58;30,10;30,23
Goudiry;;;;;30,07;29,67;29,23;29,78;29,95;29,22;30,58;30,42
Matam;30,46;30,48;30,56;30,83;30,71;30,52;30,21;31,17;31,02;30,58;30,86;31,00
Bakel;30,79;31,76;32,14;28,80;30,87;30,66;30,56;30,90;31,08;30,59;30,68;30,35
